Unnamed: 0,raw_data,date,price,percent,district,small_district
8,"2011年04月房价
14448元/㎡
4.03%↑
罗湖
nigang",2011年04月房价,14448元/㎡,4.03%↑,罗湖,nigang
9,"2011年03月房价
13888元/㎡
6.1%↑
罗湖
nigang",2011年03月房价,13888元/㎡,6.1%↑,罗湖,nigang
10,"2011年02月房价
13089元/㎡
0.58%↓
罗湖
nigang",2011年02月房价,13089元/㎡,0.58%↓,罗湖,nigang
11,"2011年01月房价
13165元/㎡
1.68%↑
罗湖
nigang",2011年01月房价,13165元/㎡,1.68%↑,罗湖,nigang
0,"2012年12月房价
26732元/㎡
6.75%↑
福田
shangbu",2012年12月房价,26732元/㎡,6.75%↑,福田,shangbu
1,"2012年11月房价
25042元/㎡
12.58%↓
福田
shangbu",2012年11月房价,25042元/㎡,12.58%↓,福田,shangbu
2,"2012年10月房价
28645元/㎡
1.04%↑
福田
shangbu",2012年10月房价,28645元/㎡,1.04%↑,福田,shangbu
3,"2012年09月房价
28351元/㎡
2.65%↑
福田
shangbu",2012年09月房价,28351元/㎡,2.65%↑,福田,shangbu
4,"2012年08月房价
27620元/㎡
0.78%↑
福田
shangbu",2012年08月房价,27620元/㎡,0.78%↑,福田,shangbu
5,"2012年07月房价
27407元/㎡
2.18%↑
福田
shangbu",2012年07月房价,27407元/㎡,2.18%↑,福田,shangbu
6,"2012年06月房价
26823元/㎡
3.39%↓
福田
shangbu",2012年06月房价,26823元/㎡,3.39%↓,福田,shangbu
7,"2012年05月房价
27764元/㎡
0.63%↓
福田
shangbu",2012年05月房价,27764元/㎡,0.63%↓,福田,shangbu
8,"2012年04月房价
27939元/㎡
2.17%↓
福田
shangbu",2012年04月房价,27939元/㎡,2.17%↓,福田,shangbu
9,"2012年03月房价
28560元/㎡
1.72%↑
福田
shangbu",2012年03月房价,28560元/㎡,1.72%↑,福田,shangbu
10,"2012年02月房价
28076元/㎡
4.07%↑
福田
shangbu",2012年02月房价,28076元/㎡,4.07%↑,福田,shangbu
11,"2012年01月房价
26978元/㎡
--
福田
shangbu",2012年01月房价,26978元/㎡,--,福田,shangbu
0,"2019年12月房价
105525元/㎡
4.38%↑
福田
baihua",2019年12月房价,105525元/㎡,4.38%↑,福田,baihua
1,"2019年11月房价
101095元/㎡
1.3%↑
福田
baihua",2019年11月房价,101095元/㎡,1.3%↑,福田,baihua
2,"2019年10月房价
99795元/㎡
0.25%↑
福田
baihua",2019年10月房价,99795元/㎡,0.25%↑,福田,baihua
3,"2019年09月房价
99543元/㎡
0.66%↑
福田
baihua",2019年09月房价,99543元/㎡,0.66%↑,福田,baihua
4,"2019年08月房价
98889元/㎡
0.22%↑
福田
baihua",2019年08月房价,98889元/㎡,0.22%↑,福田,baihua
5,"2019年07月房价
98676元/㎡
0.74%↓
福田
baihua",2019年07月房价,98676元/㎡,0.74%↓,福田,baihua
6,"2019年06月房价
99415元/㎡
0.94%↓
福田
baihua",2019年06月房价,99415元/㎡,0.94%↓,福田,baihua
7,"2019年05月房价
100359元/㎡
0.62%↓
福田
baihua",2019年05月房价,100359元/㎡,0.62%↓,福田,baihua
8,"2019年04月房价
100984元/㎡
1.71%↓
福田
baihua",2019年04月房价,100984元/㎡,1.71%↓,福田,baihua
9,"2019年03月房价
102741元/㎡
0.29%↑
福田
baihua",2019年03月房价,102741元/㎡,0.29%↑,福田,baihua
10,"2019年02月房价
102444元/㎡
0.22%↓
福田
baihua",2019年02月房价,102444元/㎡,0.22%↓,福田,baihua
11,"2019年01月房价
102666元/㎡
0.48%↓
福田
baihua",2019年01月房价,102666元/㎡,0.48%↓,福田,baihua
0,"2013年12月房价
26854元/㎡
2.27%↑
福田
meilin",2013年12月房价,26854元/㎡,2.27%↑,福田,meilin
1,"2013年11月房价
26257元/㎡
2.8%↑
福田
meilin",2013年11月房价,26257元/㎡,2.8%↑,福田,meilin
2,"2013年10月房价
25542元/㎡
0.89%↑
福田
meilin",2013年10月房价,25542元/㎡,0.89%↑,福田,meilin
3,"2013年09月房价
25317元/㎡
1.66%↑
福田
meilin",2013年09月房价,25317元/㎡,1.66%↑,福田,meilin
4,"2013年08月房价
24904元/㎡
1.94%↑
福田
meilin",2013年08月房价,24904元/㎡,1.94%↑,福田,meilin
5,"2013年07月房价
24431元/㎡
4.19%↑
福田
meilin",2013年07月房价,24431元/㎡,4.19%↑,福田,meilin
6,"2013年06月房价
23448元/㎡
2.55%↑
福田
meilin",2013年06月房价,23448元/㎡,2.55%↑,福田,meilin
7,"2013年05月房价
22864元/㎡
0.27%↑
福田
meilin",2013年05月房价,22864元/㎡,0.27%↑,福田,meilin
8,"2013年04月房价
22803元/㎡
4.33%↑
福田
meilin",2013年04月房价,22803元/㎡,4.33%↑,福田,meilin
9,"2013年03月房价
21857元/㎡
1.07%↑
福田
meilin",2013年03月房价,21857元/㎡,1.07%↑,福田,meilin
10,"2013年02月房价
21626元/㎡
1.67%↑
福田
meilin",2013年02月房价,21626元/㎡,1.67%↑,福田,meilin
11,"2013年01月房价
21271元/㎡
3.5%↑
福田
meilin",2013年01月房价,21271元/㎡,3.5%↑,福田,meilin
